,0,1,2,3,4,5,6,7,8,9,10,11
sigma,0.08795504,0.08714303,0.093037546,0.09179466,0.09098845,0.09735207,0.107326895,0.118731074,0.13540053,0.15587036,0.1781405,0.19820406
0,25.032377,28.699596,38.239616,40.777565,31.61738,27.600986,29.61783,30.211287,31.067482,32.77713,41.581234,60.95372
1,21.048737,23.096159,15.164678,13.3707905,14.195304,17.529428,18.040827,16.794575,24.493965,21.967196,28.181362,34.580112
2,18.334064,18.829851,13.078658,12.183304,13.128651,14.575675,15.993193,16.347334,18.53447,19.812613,21.172775,32.15691
3,17.36786,13.795369,12.10285,11.730458,12.495403,13.227554,14.239151,15.201937,16.772898,18.585339,20.17008,21.966257
4,16.251265,13.722768,11.536417,11.369142,11.970874,12.427412,13.002959,14.830986,16.466642,18.312374,19.657238,21.700003
5,14.112939,13.5047,11.343363,11.085165,11.579931,11.822392,12.625616,14.081523,15.805924,17.961782,19.27645,21.348488
6,13.151484,13.034078,11.153757,10.808643,11.219434,11.659245,12.223742,13.78853,15.669846,17.756868,18.883379,20.899965
7,12.1567955,10.600936,10.9678955,10.704224,11.151824,11.208368,12.106694,13.543235,15.08659,17.128078,18.623161,20.498322
8,10.998953,9.423985,10.583891,10.497405,10.940452,10.947103,11.996593,13.2523,14.998295,16.777983,18.31406,20.217981
9,10.738478,9.065464,10.526414,10.273831,10.535991,10.787091,11.777048,13.028851,14.712539,16.659496,18.15665,20.010162
10,9.81405,8.693794,10.119577,10.124315,10.36188,10.772709,11.572261,12.915702,14.243991,16.357239,17.963026,19.306225
11,9.650963,8.282553,9.990947,10.049337,10.287647,10.718191,11.506787,12.772758,14.160908,16.30692,17.787447,19.24547
12,9.391225,8.251834,9.853769,9.992388,10.099054,10.416523,11.380671,12.531557,14.047341,15.978811,17.712454,19.022818
13,9.027293,8.179625,9.828609,9.855902,10.0196295,10.408913,11.215321,12.280762,13.850988,15.864534,17.582726,18.931236
14,8.761166,7.866748,9.797985,9.768695,9.680014,10.309032,11.130998,12.2173195,13.751918,15.702762,17.494932,18.64624
15,8.638556,7.814835,9.629289,9.604217,9.658517,10.242059,10.984202,12.085896,13.696742,15.582685,17.264753,18.582464
16,8.527291,7.6797905,9.499107,9.577805,9.440727,10.188541,10.940927,11.98154,13.526022,15.466034,17.109955,18.325926
17,8.366642,7.6284304,9.399835,9.416462,9.326328,10.163883,10.887921,11.828735,13.475289,15.207464,17.014212,18.202288
18,8.193262,7.588342,9.340394,9.370947,9.315241,9.984017,10.763925,11.735973,13.222487,15.154379,16.89201,17.991789
19,8.05608,7.5654626,9.298057,9.317084,9.249403,9.927265,10.723534,11.618689,13.139062,15.015283,16.846823,17.763042
20,7.944443,7.5120797,9.2675295,9.230621,9.169574,9.895686,10.68432,11.533432,13.089938,14.896039,16.77144,17.625546
21,7.8278637,7.456495,9.197352,9.199965,9.13014,9.831819,10.58671,11.473925,12.991894,14.888871,16.671326,17.565248
22,7.8022985,7.3990736,9.133291,9.163599,9.073125,9.674395,10.464413,11.456769,12.955422,14.865909,16.44124,17.470198
23,7.6395245,7.3790545,9.066176,9.127524,9.020053,9.622527,10.310943,11.421682,12.912946,14.773552,16.385225,17.362627
24,7.5997477,7.2915416,8.962752,8.931305,8.876922,9.551534,10.237828,11.293746,12.866072,14.60877,16.33313,17.345818
25,7.5447106,7.180359,8.880497,8.891092,8.842731,9.511007,10.160934,11.213299,12.732691,14.573013,16.282112,17.264599
26,7.470454,7.1602263,8.813021,8.778326,8.781071,9.393654,10.093555,11.173473,12.619567,14.535223,16.148373,17.16461
27,7.4257526,7.130129,8.70985,8.743513,8.753359,9.32185,10.055842,11.101843,12.56503,14.478745,16.1072,17.050364
28,7.350383,7.106578,8.666937,8.727739,8.697932,9.293974,10.018319,10.99847,12.451211,14.31055,15.993753,16.956484
29,7.2732925,7.0897207,8.570447,8.645954,8.617105,9.245862,9.947443,10.956692,12.427565,14.279082,15.841933,16.930899
30,7.2280135,7.011911,8.510769,8.597349,8.55473,9.152971,9.896678,10.903927,12.377713,14.207138,15.822512,16.884117
31,7.218448,6.999393,8.443541,8.513107,8.513889,9.075565,9.863735,10.839091,12.344594,14.167887,15.779939,16.788513
32,7.169595,6.9264593,8.367565,8.464622,8.458498,9.061953,9.757845,10.730103,12.264973,14.088381,15.654849,16.705566
33,7.1137924,6.873216,8.315121,8.372059,8.415094,9.009166,9.749819,10.722965,12.225569,14.014189,15.609543,16.661139
