,0,1,2,3,4,5,6,7,8,9,10,11
sigma,0.05807442,0.10360797,0.10496207,0.09760541,0.10225456,0.10322747,0.11846983,0.119381875,0.12620932,0.13602687,0.14449264,0.16214684
0,7.9872065,8.604224,8.34617,8.231178,8.180494,9.46875,10.266244,9.13447,8.138468,8.341926,9.820899,10.893781
1,6.1365786,8.180827,7.6708665,8.050755,8.140178,8.959945,10.028095,8.970901,8.07004,8.265268,9.675824,10.811312
2,6.0731754,8.103939,7.625771,7.735796,7.8601303,8.8100395,10.017606,8.679889,7.9905877,8.188746,9.6307535,10.732082
3,5.7488794,8.001237,7.470305,7.648314,7.6695457,8.537062,9.689369,8.555272,7.905437,8.107478,9.55139,10.70764
4,5.454541,7.915953,7.3972983,7.434187,7.510897,8.513413,9.520051,8.476786,7.8668027,8.065563,9.512822,10.570775
5,5.295611,7.721084,7.2790833,7.3985796,7.4380484,8.322443,9.296909,8.35956,7.806213,8.015203,9.470729,10.496073
6,5.1228104,7.492186,7.231377,7.3341594,7.3428793,7.91394,9.090933,8.278503,7.744607,7.978135,9.425146,10.476639
7,4.75807,7.458261,7.1551914,7.2074943,7.2138553,7.8659782,9.066476,8.265134,7.6561584,7.9240823,9.386687,10.361658
8,4.5840745,7.3569126,7.0895343,7.096447,7.0844502,7.677555,8.791266,8.143021,7.59701,7.9045153,9.251362,10.347627
9,4.345484,7.279216,7.0478296,7.0029826,7.0300727,7.595289,8.715381,7.9254313,7.568491,7.816552,9.204405,10.262649
10,4.2150803,7.1282115,6.988215,6.907809,7.0038414,7.582352,8.477041,7.8326015,7.521017,7.811136,9.166746,10.197861
11,4.0942087,6.9839296,6.906604,6.8746276,6.9841337,7.4590187,8.374054,7.792012,7.4959006,7.803616,9.087789,10.161694
12,4.013636,6.8680243,6.742044,6.7285266,6.8570056,7.4195304,8.3634405,7.74229,7.4689207,7.783208,9.026873,10.108364
13,3.9573236,6.852035,6.6953554,6.641761,6.786505,7.246659,8.288998,7.642665,7.4451413,7.7551637,8.985539,10.074011
14,3.8774905,6.7757163,6.6750145,6.6355734,6.7430124,7.1249285,8.250381,7.4936023,7.3869324,7.710029,8.940896,10.025663
15,3.7643623,6.677242,6.604981,6.5539236,6.6611404,7.080377,8.176419,7.464977,7.370409,7.6517334,8.896832,9.996635
16,3.6988716,6.624765,6.5119066,6.5221786,6.6263947,7.0550194,8.10975,7.3781576,7.327276,7.612559,8.873753,9.9658375
17,3.6253302,6.5901966,6.4758143,6.473181,6.552324,6.9681067,8.082641,7.317072,7.304179,7.5514402,8.853649,9.900271
18,3.6067178,6.5101857,6.443995,6.409491,6.5401134,6.9323688,8.0131645,7.266586,7.249219,7.539702,8.828196,9.851423
19,3.5928159,6.4631863,6.389688,6.383764,6.4375234,6.8565187,7.9626,7.2279534,7.216089,7.5340743,8.766228,9.823194
